0.00	0.00
0.18	0.00
0.36	0.00
0.54	0.00
0.72	0.00
0.90	0.00
1.08	3.00
1.26	3.00
1.44	0.00
1.62	0.00
1.80	0.00
1.98	2.00
2.16	0.00
2.34	0.00
2.52	0.00
2.70	1.00
2.88	0.00
3.06	0.00
3.24	0.00
3.42	0.00
3.60	0.00
3.78	0.00
3.96	0.00
4.14	2.00
4.32	0.00
4.50	0.00
4.68	0.00
4.86	0.00
5.04	0.00
5.22	0.00
5.40	0.00
5.58	0.00
5.76	0.00
5.94	0.00
6.12	0.00
6.30	0.00
6.48	0.00
6.66	0.00
6.84	0.00
7.02	0.00
7.20	0.00
7.38	0.00
7.56	0.00
7.74	0.00
7.92	0.00
8.10	0.00
8.28	0.00
8.46	0.00
8.64	0.00
8.82	0.00
9.00	0.00
9.18	0.00
9.36	0.00
9.54	0.00
9.72	0.00
9.90	1.00
10.08	2.00
10.26	0.00
10.44	0.00
10.62	0.00
10.80	3.00
10.98	1.00
11.16	0.00
11.34	5.00
11.52	3.00
11.70	6.00
11.88	24.00
12.06	59.00
12.24	67.00
12.42	97.00
12.60	82.00
12.78	118.00
12.96	122.00
13.14	95.00
13.32	128.00
13.50	151.00
13.68	147.00
13.86	157.00
14.04	186.00
14.22	202.00
14.40	159.00
14.58	149.00
14.76	144.00
14.94	156.00
15.12	126.00
15.30	145.00
15.48	116.00
15.66	131.00
15.84	93.00
16.02	98.00
16.20	89.00
16.38	103.00
16.56	85.00
16.74	91.00
16.92	65.00
17.10	51.00
17.28	31.00
17.46	27.00
17.64	29.00
17.82	31.00
18.00	24.00
18.18	16.00
18.36	23.00
18.54	12.00
18.72	8.00
18.90	6.00
19.08	12.00
19.26	3.00
19.44	5.00
19.62	6.00
19.80	1.00
19.98	2.00
20.16	4.00
20.34	3.00
20.52	0.00
20.70	0.00
20.88	0.00
21.06	0.00
21.24	3.00
21.42	1.00
21.60	2.00
21.78	1.00
21.96	0.00
22.14	1.00
22.32	0.00
22.50	1.00
22.68	0.00
22.86	0.00
23.04	1.00
23.22	0.00
23.40	1.00
23.58	0.00
23.76	0.00
23.94	0.00
24.12	0.00
24.30	0.00
24.48	0.00
24.66	0.00
24.84	0.00
25.02	0.00
25.20	0.00
25.38	0.00
25.56	0.00
25.74	0.00
25.92	0.00
26.10	0.00
26.28	0.00
26.46	0.00
26.64	0.00
26.82	0.00
27.00	0.00
27.18	0.00
27.36	0.00
27.54	0.00
27.72	0.00
27.90	0.00
28.08	0.00
28.26	0.00
28.44	0.00
28.62	0.00
28.80	0.00
28.98	0.00
29.16	0.00
29.34	0.00
29.52	0.00
29.70	0.00
29.88	0.00
30.06	0.00
30.24	0.00
30.42	0.00
30.60	0.00
30.78	0.00
30.96	0.00
31.14	0.00
31.32	0.00
31.50	0.00
31.68	0.00
31.86	0.00
32.04	0.00
32.22	0.00
32.40	0.00
32.58	0.00
32.76	0.00
32.94	0.00
33.12	0.00
33.30	0.00
33.48	0.00
33.66	0.00
33.84	0.00
34.02	0.00
34.20	0.00
34.38	0.00
34.56	0.00
34.74	0.00
34.92	0.00
35.10	0.00
35.28	0.00
35.46	0.00
35.64	0.00
35.82	0.00
