0.00	0.00
0.18	0.00
0.36	0.00
0.54	0.00
0.72	0.00
0.90	7.00
1.08	5.00
1.26	15.00
1.44	7.00
1.62	0.00
1.80	0.00
1.98	0.00
2.16	0.00
2.34	1.00
2.52	0.00
2.70	0.00
2.88	0.00
3.06	0.00
3.24	0.00
3.42	0.00
3.60	0.00
3.78	1.00
3.96	0.00
4.14	2.00
4.32	0.00
4.50	1.00
4.68	0.00
4.86	0.00
5.04	0.00
5.22	0.00
5.40	0.00
5.58	0.00
5.76	0.00
5.94	1.00
6.12	0.00
6.30	0.00
6.48	0.00
6.66	0.00
6.84	0.00
7.02	0.00
7.20	0.00
7.38	0.00
7.56	0.00
7.74	0.00
7.92	0.00
8.10	0.00
8.28	0.00
8.46	0.00
8.64	0.00
8.82	0.00
9.00	1.00
9.18	0.00
9.36	1.00
9.54	0.00
9.72	0.00
9.90	1.00
10.08	1.00
10.26	2.00
10.44	3.00
10.62	5.00
10.80	15.00
10.98	19.00
11.16	25.00
11.34	37.00
11.52	32.00
11.70	41.00
11.88	31.00
12.06	48.00
12.24	36.00
12.42	39.00
12.60	46.00
12.78	45.00
12.96	43.00
13.14	54.00
13.32	41.00
13.50	31.00
13.68	22.00
13.86	29.00
14.04	17.00
14.22	18.00
14.40	11.00
14.58	15.00
14.76	8.00
14.94	10.00
15.12	2.00
15.30	8.00
15.48	5.00
15.66	2.00
15.84	4.00
16.02	4.00
16.20	2.00
16.38	0.00
16.56	0.00
16.74	0.00
16.92	0.00
17.10	1.00
17.28	0.00
17.46	0.00
17.64	1.00
17.82	0.00
18.00	0.00
18.18	0.00
18.36	0.00
18.54	0.00
18.72	0.00
18.90	0.00
19.08	0.00
19.26	0.00
19.44	0.00
19.62	0.00
19.80	0.00
19.98	0.00
20.16	0.00
20.34	0.00
20.52	0.00
20.70	0.00
20.88	0.00
21.06	0.00
21.24	0.00
21.42	0.00
21.60	0.00
21.78	0.00
21.96	0.00
22.14	0.00
22.32	0.00
22.50	0.00
22.68	0.00
22.86	0.00
23.04	0.00
23.22	0.00
23.40	0.00
23.58	0.00
23.76	0.00
23.94	0.00
24.12	0.00
24.30	0.00
24.48	0.00
24.66	0.00
24.84	0.00
25.02	0.00
25.20	0.00
25.38	0.00
25.56	0.00
25.74	0.00
25.92	0.00
26.10	0.00
26.28	0.00
26.46	0.00
26.64	0.00
26.82	0.00
27.00	0.00
27.18	0.00
27.36	0.00
27.54	0.00
27.72	0.00
27.90	0.00
28.08	1.00
28.26	0.00
28.44	0.00
28.62	0.00
28.80	0.00
28.98	0.00
29.16	0.00
29.34	0.00
29.52	0.00
29.70	0.00
29.88	0.00
30.06	0.00
30.24	0.00
30.42	0.00
30.60	0.00
30.78	0.00
30.96	0.00
31.14	0.00
31.32	0.00
31.50	0.00
31.68	1.00
31.86	0.00
32.04	0.00
32.22	0.00
32.40	0.00
32.58	0.00
32.76	0.00
32.94	0.00
33.12	0.00
33.30	0.00
33.48	0.00
33.66	0.00
33.84	0.00
34.02	0.00
34.20	0.00
34.38	0.00
34.56	0.00
34.74	0.00
34.92	0.00
35.10	0.00
35.28	0.00
35.46	0.00
35.64	0.00
35.82	0.00
